Name,Disaster,Costs,Deaths,Year,Month
Southern Plains/Midwest/Northeast Severe Weather (May 2012),Severe Storm,2925.7,1,2012,5
Rockies/Southwest Severe Weather (June 2012),Severe Storm,3299.2,0,2012,6
Plains/East/Northeast Derecho (June-July 2012),Severe Storm,3668.4,28,2012,7
Hurricane Isaac (August 2012),Tropical Cyclone,3509.7,9,2012,8
Hurricane Sandy (October 2012),Tropical Cyclone,81950,159,2012,10
Western Wildfires (Summer-Fall 2012),Wildfire,2208,8,2012,11
U.S. Drought/Heat Wave (2012),Drought,38704.4,123,2012,12
Southern Severe Weather (February 2013),Severe Storm,1161.7,1,2013,2
Southeast Severe Weather (March 2013),Severe Storm,2545.3,1,2013,3
Midwest/Plains Severe Weather (April 2013),Severe Storm,1819.4,1,2013,4
Illinois Flooding and Severe Weather (April 2013),Flooding,1357,4,2013,4
Midwest/Plains/East Tornadoes (May 2013),Severe Storm,3000.5,27,2013,5
Midwest/Plains/Northeast Tornadoes (May 2013),Severe Storm,2266.9,10,2013,5
Midwest Severe Weather (August 2013),Severe Storm,1302.5,0,2013,8
Colorado Flooding (September 2013),Flooding,1885.6,9,2013,9
Ohio Valley Tornadoes (November 2013),Severe Storm,1363.3,8,2013,11
Western/Plains Drought/Heat Wave (Spring-Fall 2013),Drought,13241.2,53,2013,11
Midwest/Southeast/Northeast Winter Storm (January 2014),Winter Storm,2715.9,16,2014,1
Plains Severe Weather (April 2014),Severe Storm,1765.7,0,2014,4
Central Severe Weather (April 2014),Severe Storm,1129.3,0,2014,4
Midwest/Southeast/Northeast Tornadoes and Flooding (April 2014),Severe Storm,2135.5,33,2014,5
Rockies/Midwest/Eastern Severe Weather (May 2014),Severe Storm,4567.2,0,2014,5
Rockies/Central Plains Severe Weather (June 2014),Severe Storm,2360.7,2,2014,6
Michigan and Northeast Flooding (August 2014),Flooding,1269.1,2,2014,8
Rockies/Plains Severe Weather (September 2014),Severe Storm,1722.5,0,2014,10
Western Drought (2014),Drought,4939.5,0,2014,12
"Central and Eastern Winter storm, Cold Wave (February 2015)",Winter Storm,3702.9,30,2015,2
Midwest/Ohio Valley Severe Weather (April 2015),Severe Storm,1928.8,2,2015,4
South/Southeast Severe Weather (April 2015),Severe Storm,1591.8,0,2015,4
South and Southeast Severe Weather (April 2015),Severe Storm,1170.6,3,2015,4
Southern Plains Tornadoes (May 2015),Severe Storm,1564.7,4,2015,5
Texas and Oklahoma Flooding and Severe Weather (May 2015),Flooding,3125.6,31,2015,5
Central and Northeast Severe Weather (June 2015),Severe Storm,1429.7,1,2015,6
South Carolina and East Coast Flooding (October 2015),Flooding,2457.9,25,2015,10
Western and Alaskan Wildfires (Summer-Fall 2015),Wildfire,3694.1,12,2015,11
Texas Tornadoes and Midwest Flooding (December 2015),Severe Storm,2432.8,50,2015,12
Western Drought (2015),Drought,5582.7,0,2015,12
Southeast and Eastern Tornadoes (February 2016),Severe Storm,1279.2,10,2016,2
Texas and Louisiana Flooding (March 2016),Flooding,2822.6,5,2016,3
Southern Severe Weather (March 2016),Severe Storm,1488.7,1,2016,3
North Texas Hail Storm (March 2016),Severe Storm,2539.7,0,2016,3
North/Central Texas Hail Storm (April 2016),Severe Storm,4268.3,0,2016,4
Houston Flooding (April 2016),Flooding,3291.5,8,2016,4
South/Southeast Tornadoes (April 2016),Severe Storm,2921.3,6,2016,5
Plains Tornadoes and Central Severe Weather (May 2016),Severe Storm,2098,2,2016,5
Rockies/Central Tornadoes and Severe Weather (May 2016),Severe Storm,1398.4,0,2016,5
